year,season,scenario,model,snc_mile2
1922,2,historical,bcc_csm2_mr,3629035.71189699
1922,3,historical,bcc_csm2_mr,682199.681002819
1922,4,historical,bcc_csm2_mr,1652374.2097838
1923,1,historical,bcc_csm2_mr,4910798.98517083
1923,2,historical,bcc_csm2_mr,3519904.68632332
1923,3,historical,bcc_csm2_mr,613222.681804542
1923,4,historical,bcc_csm2_mr,1805499.23217063
1924,1,historical,bcc_csm2_mr,5259766.25496133
1924,2,historical,bcc_csm2_mr,3749380.04983455
1924,3,historical,bcc_csm2_mr,707195.543823113
1924,4,historical,bcc_csm2_mr,1742960.31117171
1925,1,historical,bcc_csm2_mr,4618394.66210887
1925,2,historical,bcc_csm2_mr,3598956.05472928
1925,3,historical,bcc_csm2_mr,666579.192935472
1925,4,historical,bcc_csm2_mr,1624755.32931775
1926,1,historical,bcc_csm2_mr,4793211.01402223
1926,2,historical,bcc_csm2_mr,3593488.69087015
1926,3,historical,bcc_csm2_mr,604650.114191083
1926,4,historical,bcc_csm2_mr,1891905.47875502
1927,1,historical,bcc_csm2_mr,4648414.80485818
1927,2,historical,bcc_csm2_mr,3602421.15207507
1927,3,historical,bcc_csm2_mr,578492.936978973
1927,4,historical,bcc_csm2_mr,1587956.88015886
1928,1,historical,bcc_csm2_mr,4963725.55668087
1928,2,historical,bcc_csm2_mr,3099853.19281181
1928,3,historical,bcc_csm2_mr,630018.183579416
1928,4,historical,bcc_csm2_mr,1781783.9080086
1929,1,historical,bcc_csm2_mr,4725757.16011419
1929,2,historical,bcc_csm2_mr,3729304.48612857
1929,3,historical,bcc_csm2_mr,627953.096312931
1929,4,historical,bcc_csm2_mr,1693670.95395998
1930,1,historical,bcc_csm2_mr,5369704.92317453
1930,2,historical,bcc_csm2_mr,3160982.67643543
1930,3,historical,bcc_csm2_mr,529047.960209881
1930,4,historical,bcc_csm2_mr,1884048.62856704
1931,1,historical,bcc_csm2_mr,5539638.28184098
1931,2,historical,bcc_csm2_mr,3838686.76404854
1931,3,historical,bcc_csm2_mr,648145.881411601
1931,4,historical,bcc_csm2_mr,1662097.05796987
1932,1,historical,bcc_csm2_mr,4807537.89433242
1932,2,historical,bcc_csm2_mr,3276781.43589568
1932,3,historical,bcc_csm2_mr,565908.439400736
1932,4,historical,bcc_csm2_mr,1572620.0514085
1933,1,historical,bcc_csm2_mr,5016214.186262
1933,2,historical,bcc_csm2_mr,3584244.55137211
1933,3,historical,bcc_csm2_mr,553813.712694184
1933,4,historical,bcc_csm2_mr,1523470.55290588
1934,1,historical,bcc_csm2_mr,5088915.63763678
1934,2,historical,bcc_csm2_mr,3650025.57927778
1934,3,historical,bcc_csm2_mr,496961.346213245
1934,4,historical,bcc_csm2_mr,1906188.27705007
1935,1,historical,bcc_csm2_mr,4550081.0393536
1935,2,historical,bcc_csm2_mr,3455118.51518334
1935,3,historical,bcc_csm2_mr,641467.415335216
1935,4,historical,bcc_csm2_mr,1976485.3601165
1936,1,historical,bcc_csm2_mr,5176355.56793697
1936,2,historical,bcc_csm2_mr,3887260.91451075
1936,3,historical,bcc_csm2_mr,707786.808529888
1936,4,historical,bcc_csm2_mr,2066604.10334921
1937,1,historical,bcc_csm2_mr,5092172.11580827
1937,2,historical,bcc_csm2_mr,3991580.94406121
