year,scenario,model,snc_mile2
2031,ssp585,bcc_csm2_mr,2416446.78218166
2032,ssp585,bcc_csm2_mr,2224308.30474241
2033,ssp585,bcc_csm2_mr,2355634.729932
2034,ssp585,bcc_csm2_mr,2220151.39077575
2035,ssp585,bcc_csm2_mr,2331403.94162475
2036,ssp585,bcc_csm2_mr,2189592.04068141
2037,ssp585,bcc_csm2_mr,2404468.28795028
2038,ssp585,bcc_csm2_mr,2481185.9736701
2039,ssp585,bcc_csm2_mr,2473021.49741801
2040,ssp585,bcc_csm2_mr,2303881.04793254
2041,ssp585,bcc_csm2_mr,2192119.22954632
2042,ssp585,bcc_csm2_mr,2211314.65148046
2043,ssp585,bcc_csm2_mr,2133390.6657437
2044,ssp585,bcc_csm2_mr,2165043.25425032
2045,ssp585,bcc_csm2_mr,2075386.41653057
2046,ssp585,bcc_csm2_mr,2115310.66325538
2047,ssp585,bcc_csm2_mr,2195362.1587223
2048,ssp585,bcc_csm2_mr,2007688.45096051
2049,ssp585,bcc_csm2_mr,2180688.63748106
2050,ssp585,bcc_csm2_mr,2120203.04941243
2051,ssp585,bcc_csm2_mr,2188885.37612527
2052,ssp585,bcc_csm2_mr,2049101.44832591
2053,ssp585,bcc_csm2_mr,2145354.32810688
2054,ssp585,bcc_csm2_mr,2036831.85180705
2055,ssp585,bcc_csm2_mr,2249665.86769985
2056,ssp585,bcc_csm2_mr,2253161.17927293
2057,ssp585,bcc_csm2_mr,1852723.55258134
2058,ssp585,bcc_csm2_mr,1959412.78066373
2059,ssp585,bcc_csm2_mr,1940815.08779149
2060,ssp585,bcc_csm2_mr,1789421.18388238
2061,ssp585,bcc_csm2_mr,1700058.17326828
2062,ssp585,bcc_csm2_mr,2127916.63207576
2063,ssp585,bcc_csm2_mr,1756170.07115048
2064,ssp585,bcc_csm2_mr,1930386.15764858
2065,ssp585,bcc_csm2_mr,1744528.59027863
2066,ssp585,bcc_csm2_mr,2082072.96069465
2067,ssp585,bcc_csm2_mr,1891676.11994216
2068,ssp585,bcc_csm2_mr,1875215.54261273
2069,ssp585,bcc_csm2_mr,1978976.8489004
2070,ssp585,bcc_csm2_mr,1947690.71617574
2071,ssp585,bcc_csm2_mr,1712446.37028184
2072,ssp585,bcc_csm2_mr,1800009.44712492
2073,ssp585,bcc_csm2_mr,1596590.41977016
2074,ssp585,bcc_csm2_mr,1641217.24882041
2075,ssp585,bcc_csm2_mr,1651637.78462645
2076,ssp585,bcc_csm2_mr,1622092.49110481
2077,ssp585,bcc_csm2_mr,1729841.92143148
2078,ssp585,bcc_csm2_mr,2004068.33110393
2079,ssp585,bcc_csm2_mr,1580868.37865529
2080,ssp585,bcc_csm2_mr,1840200.07920468
2081,ssp585,bcc_csm2_mr,1509365.84634619
2082,ssp585,bcc_csm2_mr,1373944.47696543
2083,ssp585,bcc_csm2_mr,1547644.95012627
2084,ssp585,bcc_csm2_mr,1777373.28066631
2085,ssp585,bcc_csm2_mr,1725892.73458249
2086,ssp585,bcc_csm2_mr,1377677.59958446
2087,ssp585,bcc_csm2_mr,1558929.10434866
2088,ssp585,bcc_csm2_mr,1622009.80434638
2089,ssp585,bcc_csm2_mr,1785139.72262709
2090,ssp585,bcc_csm2_mr,1783764.93059371
2091,ssp585,bcc_csm2_mr,1473215.40577991
2092,ssp585,bcc_csm2_mr,1545037.34785744
2093,ssp585,bcc_csm2_mr,1584946.30118698
2094,ssp585,bcc_csm2_mr,1351033.65330379
