year,state,av_temp,scenario
1983,MO,52.6,ssp126
1984,MO,54.18,ssp126
1985,MO,54.18,ssp126
1986,MO,53.11,ssp126
1987,MO,54.2,ssp126
1988,MO,54.82,ssp126
1989,MO,55.07,ssp126
1990,MO,53.52,ssp126
1991,MO,54.97,ssp126
1992,MO,53.68,ssp126
1993,MO,54.9,ssp126
1994,MO,53.9,ssp126
1995,MO,54.96,ssp126
1996,MO,54.62,ssp126
1997,MO,54.74,ssp126
1998,MO,55.48,ssp126
1999,MO,55.16,ssp126
2000,MO,54.52,ssp126
2001,MO,55.39,ssp126
2002,MO,55.34,ssp126
2003,MO,54.99,ssp126
2004,MO,55.03,ssp126
2005,MO,55.44,ssp126
2006,MO,56.15,ssp126
2007,MO,56.69,ssp126
2008,MO,55.93,ssp126
2009,MO,55.91,ssp126
2010,MO,55.93,ssp126
