,year,avg_djf_temp_f,scenario,model
70,2020,34.07873856622641,ssp245,inm-cm4-8
71,2021,31.94709577583709,ssp245,inm-cm4-8
72,2022,34.137865874705454,ssp245,inm-cm4-8
73,2023,35.01782803842145,ssp245,inm-cm4-8
74,2024,35.962089218798916,ssp245,inm-cm4-8
75,2025,36.245172478887355,ssp245,inm-cm4-8
76,2026,35.42598356330629,ssp245,inm-cm4-8
77,2027,30.532059959187414,ssp245,inm-cm4-8
78,2028,33.666038347863775,ssp245,inm-cm4-8
79,2029,35.96220410148398,ssp245,inm-cm4-8
80,2030,31.625637819438033,ssp245,inm-cm4-8
81,2031,30.04970394269088,ssp245,inm-cm4-8
82,2032,30.38752435686559,ssp245,inm-cm4-8
83,2033,33.15830108082654,ssp245,inm-cm4-8
