,year,avg_jja_temp_f,scenario,model
120,2070,76.11393394073174,ssp585,gfdl-esm4
121,2071,77.76830690502175,ssp585,gfdl-esm4
122,2072,78.72359295544517,ssp585,gfdl-esm4
123,2073,76.32472522959503,ssp585,gfdl-esm4
124,2074,76.38428483181225,ssp585,gfdl-esm4
125,2075,77.00590564121322,ssp585,gfdl-esm4
126,2076,77.86432349144653,ssp585,gfdl-esm4
127,2077,78.8818609867506,ssp585,gfdl-esm4
128,2078,79.16675725538492,ssp585,gfdl-esm4
129,2079,78.16912484737415,ssp585,gfdl-esm4
130,2080,77.65855475566067,ssp585,gfdl-esm4
131,2081,77.74028503931109,ssp585,gfdl-esm4
132,2082,78.64936343163947,ssp585,gfdl-esm4
133,2083,77.93305146068626,ssp585,gfdl-esm4
134,2084,79.06926573010071,ssp585,gfdl-esm4
135,2085,77.01459982740865,ssp585,gfdl-esm4
136,2086,78.46689823782506,ssp585,gfdl-esm4
137,2087,80.50085348301862,ssp585,gfdl-esm4
138,2088,78.39153755601478,ssp585,gfdl-esm4
139,2089,80.71865564611173,ssp585,gfdl-esm4
140,2090,81.14519885745928,ssp585,gfdl-esm4
141,2091,79.7135746612139,ssp585,gfdl-esm4
142,2092,79.95628120175485,ssp585,gfdl-esm4
143,2093,82.59003632997582,ssp585,gfdl-esm4
144,2094,80.52489712436802,ssp585,gfdl-esm4
145,2095,78.8547448423119,ssp585,gfdl-esm4
146,2096,80.20514819916096,ssp585,gfdl-esm4
147,2097,81.18131807430244,ssp585,gfdl-esm4
148,2098,82.02616861416016,ssp585,gfdl-esm4
149,2099,81.16835881585585,ssp585,gfdl-esm4
150,2100,81.40685925288118,ssp585,gfdl-esm4
0,1950,69.17634177037812,ssp585,access-esm1-5
1,1951,71.08792155219459,ssp585,access-esm1-5
2,1952,68.78788687980996,ssp585,access-esm1-5
3,1953,72.23374886971128,ssp585,access-esm1-5
4,1954,69.9143959469904,ssp585,access-esm1-5
5,1955,70.54484968838017,ssp585,access-esm1-5
6,1956,71.88711575758083,ssp585,access-esm1-5
7,1957,68.74337862534422,ssp585,access-esm1-5
8,1958,70.87334019319226,ssp585,access-esm1-5
9,1959,69.17203455506544,ssp585,access-esm1-5
10,1960,70.95405462629546,ssp585,access-esm1-5
11,1961,69.59086358003754,ssp585,access-esm1-5
12,1962,69.63895120728537,ssp585,access-esm1-5
13,1963,68.15419911892155,ssp585,access-esm1-5
14,1964,70.47347277490576,ssp585,access-esm1-5
15,1965,69.32809454370388,ssp585,access-esm1-5
16,1966,69.13263818213163,ssp585,access-esm1-5
17,1967,71.15596090812801,ssp585,access-esm1-5
18,1968,70.1136295697781,ssp585,access-esm1-5
19,1969,70.16444544479236,ssp585,access-esm1-5
20,1970,68.39501576940665,ssp585,access-esm1-5
21,1971,70.17209024516859,ssp585,access-esm1-5
22,1972,71.1146557659002,ssp585,access-esm1-5
23,1973,68.87608260918233,ssp585,access-esm1-5
24,1974,69.3974581042878,ssp585,access-esm1-5
25,1975,70.40819233542314,ssp585,access-esm1-5
26,1976,70.41950659576709,ssp585,access-esm1-5
27,1977,71.67838604193729,ssp585,access-esm1-5
28,1978,71.01526025081527,ssp585,access-esm1-5
29,1979,70.4301073781408,ssp585,access-esm1-5
30,1980,69.88382115891275,ssp585,access-esm1-5
31,1981,70.5380625748097,ssp585,access-esm1-5
32,1982,69.5147631847065,ssp585,access-esm1-5
33,1983,71.07360740600349,ssp585,access-esm1-5
34,1984,69.50580484416105,ssp585,access-esm1-5
35,1985,72.29105552207965,ssp585,access-esm1-5
36,1986,69.40916235643954,ssp585,access-esm1-5
37,1987,70.78414548161315,ssp585,access-esm1-5
38,1988,70.3284567523391,ssp585,access-esm1-5
39,1989,70.37044308091778,ssp585,access-esm1-5
40,1990,70.97133688117032,ssp585,access-esm1-5
41,1991,71.94944285486197,ssp585,access-esm1-5
42,1992,69.21235216518953,ssp585,access-esm1-5
43,1993,70.48031993872664,ssp585,access-esm1-5
44,1994,72.69600026800346,ssp585,access-esm1-5
45,1995,71.90161950361362,ssp585,access-esm1-5
46,1996,71.63415414576544,ssp585,access-esm1-5
47,1997,72.5449090958215,ssp585,access-esm1-5
48,1998,73.61718245445822,ssp585,access-esm1-5
49,1999,72.5978764881748,ssp585,access-esm1-5
50,2000,71.76709938853679,ssp585,access-esm1-5
51,2001,72.24840650277997,ssp585,access-esm1-5
52,2002,71.29461184193883,ssp585,access-esm1-5
53,2003,73.79748364004479,ssp585,access-esm1-5
54,2004,73.90839644789543,ssp585,access-esm1-5
55,2005,71.86064871432751,ssp585,access-esm1-5
56,2006,74.87621443687243,ssp585,access-esm1-5
57,2007,72.55663146983925,ssp585,access-esm1-5
58,2008,73.57901203608563,ssp585,access-esm1-5
59,2009,72.95407334328046,ssp585,access-esm1-5
60,2010,73.29467827567048,ssp585,access-esm1-5
61,2011,72.32057323904367,ssp585,access-esm1-5
62,2012,73.90877974292917,ssp585,access-esm1-5
63,2013,71.82015804849279,ssp585,access-esm1-5
64,2014,72.77050958936678,ssp585,access-esm1-5
65,2015,73.85139271458634,ssp585,access-esm1-5
66,2016,74.07000216905618,ssp585,access-esm1-5
67,2017,74.41847504149382,ssp585,access-esm1-5
68,2018,72.99517554516608,ssp585,access-esm1-5
