,year,av_temp,scenario
74,2024,73.4504540617368,ssp585
75,2025,74.26801056368961,ssp585
76,2026,74.25765228410854,ssp585
77,2027,74.19270030386413,ssp585
78,2028,74.18839363641413,ssp585
79,2029,74.24186782577141,ssp585
80,2030,74.28901294693752,ssp585
81,2031,74.56843574483317,ssp585
82,2032,74.72413360611301,ssp585
83,2033,75.37936700507434,ssp585
84,2034,74.80863782309567,ssp585
85,2035,74.55995823022967,ssp585
86,2036,74.73711685565182,ssp585
87,2037,74.80117440368804,ssp585
88,2038,75.04793599448742,ssp585
89,2039,75.28793189397398,ssp585
90,2040,75.56596059638154,ssp585
91,2041,75.40206726429132,ssp585
92,2042,75.58579892418769,ssp585
93,2043,75.42748721425238,ssp585
94,2044,76.04875145289914,ssp585
95,2045,75.95904103643439,ssp585
96,2046,75.96720682694507,ssp585
97,2047,75.80993163285677,ssp585
98,2048,76.38126205748192,ssp585
99,2049,76.22587968340389,ssp585
100,2050,76.17793324333365,ssp585
101,2051,76.7805639343256,ssp585
102,2052,76.60401366826517,ssp585
103,2053,76.42730996175048,ssp585
104,2054,76.65852623497095,ssp585
105,2055,77.23181394254735,ssp585
106,2056,77.16845405422158,ssp585
107,2057,77.31206402974391,ssp585
108,2058,77.67766216424648,ssp585
109,2059,77.56692016693994,ssp585
110,2060,77.45992613207693,ssp585
111,2061,77.75996048991902,ssp585
112,2062,78.35115391710947,ssp585
113,2063,78.34517974556852,ssp585
114,2064,78.10832839876069,ssp585
115,2065,78.4131254704534,ssp585
116,2066,78.51399761000505,ssp585
117,2067,78.34075509275418,ssp585
118,2068,78.73634057263504,ssp585
119,2069,79.3117921851897,ssp585
120,2070,78.93269207340339,ssp585
121,2071,79.39460774800199,ssp585
122,2072,79.85487000990659,ssp585
123,2073,79.20996290221368,ssp585
124,2074,79.45886052006686,ssp585
125,2075,79.3372344007937,ssp585
126,2076,79.79089033999497,ssp585
127,2077,79.9519098427671,ssp585
128,2078,79.82861869659924,ssp585
129,2079,80.47366287287679,ssp585
130,2080,80.56697711025504,ssp585
131,2081,80.78484828329856,ssp585
132,2082,80.88511610377273,ssp585
133,2083,80.87742031376693,ssp585
134,2084,81.2860247231849,ssp585
135,2085,81.07751093093039,ssp585
136,2086,81.10868323342949,ssp585
137,2087,81.23469012696144,ssp585
138,2088,81.67809768187205,ssp585
139,2089,82.04028486180046,ssp585
140,2090,81.93921652824437,ssp585
141,2091,81.72774065159626,ssp585
142,2092,82.77742462501146,ssp585
143,2093,82.74520761658191,ssp585
144,2094,82.8239020405648,ssp585
145,2095,82.41809376511179,ssp585
146,2096,82.75365304810421,ssp585
147,2097,82.59383148039099,ssp585
148,2098,83.01769119603716,ssp585
149,2099,83.09336511585644,ssp585
150,2100,83.0380243953936,ssp585
