year,state,av_temp,scenario
2054,KY,NA,nclimgrid
2055,KY,NA,nclimgrid
2056,KY,NA,nclimgrid
2057,KY,NA,nclimgrid
2058,KY,NA,nclimgrid
2059,KY,NA,nclimgrid
2060,KY,NA,nclimgrid
2061,KY,NA,nclimgrid
2062,KY,NA,nclimgrid
2063,KY,NA,nclimgrid
2064,KY,NA,nclimgrid
2065,KY,NA,nclimgrid
2066,KY,NA,nclimgrid
2067,KY,NA,nclimgrid
2068,KY,NA,nclimgrid
2069,KY,NA,nclimgrid
2070,KY,NA,nclimgrid
2071,KY,NA,nclimgrid
2072,KY,NA,nclimgrid
2073,KY,NA,nclimgrid
2074,KY,NA,nclimgrid
2075,KY,NA,nclimgrid
2076,KY,NA,nclimgrid
2077,KY,NA,nclimgrid
2078,KY,NA,nclimgrid
2079,KY,NA,nclimgrid
2080,KY,NA,nclimgrid
2081,KY,NA,nclimgrid
2082,KY,NA,nclimgrid
2083,KY,NA,nclimgrid
2084,KY,NA,nclimgrid
2085,KY,NA,nclimgrid
2086,KY,NA,nclimgrid
2087,KY,NA,nclimgrid
2088,KY,NA,nclimgrid
2089,KY,NA,nclimgrid
2090,KY,NA,nclimgrid
2091,KY,NA,nclimgrid
2092,KY,NA,nclimgrid
2093,KY,NA,nclimgrid
2094,KY,NA,nclimgrid
2095,KY,NA,nclimgrid
2096,KY,NA,nclimgrid
2097,KY,NA,nclimgrid
2098,KY,NA,nclimgrid
2099,KY,NA,nclimgrid
2100,KY,NA,nclimgrid
1950,AL,NA,nclimgrid
1951,AL,NA,nclimgrid
1952,AL,51.03,nclimgrid
1953,AL,47.69,nclimgrid
1954,AL,47.65,nclimgrid
1955,AL,45.79,nclimgrid
1956,AL,47.14,nclimgrid
1957,AL,52.89,nclimgrid
1958,AL,41.92,nclimgrid
1959,AL,44.89,nclimgrid
1960,AL,45.23,nclimgrid
1961,AL,44.06,nclimgrid
1962,AL,48.1,nclimgrid
1963,AL,41.26,nclimgrid
1964,AL,40.83,nclimgrid
1965,AL,47.08,nclimgrid
1966,AL,44.34,nclimgrid
1967,AL,45.19,nclimgrid
1968,AL,44.37,nclimgrid
1969,AL,43.82,nclimgrid
1970,AL,41.84,nclimgrid
1971,AL,46.78,nclimgrid
1972,AL,50.31,nclimgrid
1973,AL,45.66,nclimgrid
1974,AL,49.59,nclimgrid
1975,AL,48.86,nclimgrid
1976,AL,45.95,nclimgrid
1977,AL,40.01,nclimgrid
1978,AL,39.75,nclimgrid
1979,AL,42.63,nclimgrid
1980,AL,44.93,nclimgrid
1981,AL,43.79,nclimgrid
1982,AL,44.68,nclimgrid
1983,AL,47.07,nclimgrid
1984,AL,43.59,nclimgrid
1985,AL,45.96,nclimgrid
1986,AL,45.16,nclimgrid
1987,AL,45.63,nclimgrid
1988,AL,45.4,nclimgrid
1989,AL,48.49,nclimgrid
1990,AL,47.38,nclimgrid
1991,AL,48.98,nclimgrid
1992,AL,48.29,nclimgrid
1993,AL,47.41,nclimgrid
1994,AL,45.31,nclimgrid
1995,AL,47.64,nclimgrid
1996,AL,45.06,nclimgrid
1997,AL,48.54,nclimgrid
1998,AL,47.19,nclimgrid
1999,AL,50.85,nclimgrid
2000,AL,48.46,nclimgrid
2001,AL,44.04,nclimgrid
2002,AL,47.87,nclimgrid
2003,AL,44.26,nclimgrid
2004,AL,44.45,nclimgrid
2005,AL,48.42,nclimgrid
2006,AL,46.89,nclimgrid
2007,AL,47.05,nclimgrid
2008,AL,47.96,nclimgrid
2009,AL,47.7,nclimgrid
2010,AL,41.81,nclimgrid
2011,AL,43.45,nclimgrid
2012,AL,50.33,nclimgrid
2013,AL,49.72,nclimgrid
2014,AL,44.05,nclimgrid
2015,AL,45.07,nclimgrid
2016,AL,49.85,nclimgrid
2017,AL,52.61,nclimgrid
2018,AL,48.04,nclimgrid
2019,AL,50.29,nclimgrid
2020,AL,51.24,nclimgrid
2021,AL,NA,nclimgrid
2022,AL,NA,nclimgrid
2023,AL,NA,nclimgrid
2024,AL,NA,nclimgrid
2025,AL,NA,nclimgrid
2026,AL,NA,nclimgrid
2027,AL,NA,nclimgrid
2028,AL,NA,nclimgrid
2029,AL,NA,nclimgrid
2030,AL,NA,nclimgrid
2031,AL,NA,nclimgrid
2032,AL,NA,nclimgrid
2033,AL,NA,nclimgrid
2034,AL,NA,nclimgrid
2035,AL,NA,nclimgrid
2036,AL,NA,nclimgrid
2037,AL,NA,nclimgrid
2038,AL,NA,nclimgrid
2039,AL,NA,nclimgrid
2040,AL,NA,nclimgrid
2041,AL,NA,nclimgrid
2042,AL,NA,nclimgrid
2043,AL,NA,nclimgrid
2044,AL,NA,nclimgrid
2045,AL,NA,nclimgrid
2046,AL,NA,nclimgrid
2047,AL,NA,nclimgrid
2048,AL,NA,nclimgrid
2049,AL,NA,nclimgrid
2050,AL,NA,nclimgrid
2051,AL,NA,nclimgrid
2052,AL,NA,nclimgrid
2053,AL,NA,nclimgrid
2054,AL,NA,nclimgrid
2055,AL,NA,nclimgrid
2056,AL,NA,nclimgrid
2057,AL,NA,nclimgrid
2058,AL,NA,nclimgrid
2059,AL,NA,nclimgrid
2060,AL,NA,nclimgrid
2061,AL,NA,nclimgrid
2062,AL,NA,nclimgrid
2063,AL,NA,nclimgrid
2064,AL,NA,nclimgrid
2065,AL,NA,nclimgrid
2066,AL,NA,nclimgrid
2067,AL,NA,nclimgrid
2068,AL,NA,nclimgrid
2069,AL,NA,nclimgrid
2070,AL,NA,nclimgrid
2071,AL,NA,nclimgrid
2072,AL,NA,nclimgrid
2073,AL,NA,nclimgrid
2074,AL,NA,nclimgrid
2075,AL,NA,nclimgrid
2076,AL,NA,nclimgrid
2077,AL,NA,nclimgrid
2078,AL,NA,nclimgrid
2079,AL,NA,nclimgrid
2080,AL,NA,nclimgrid
2081,AL,NA,nclimgrid
2082,AL,NA,nclimgrid
2083,AL,NA,nclimgrid
2084,AL,NA,nclimgrid
2085,AL,NA,nclimgrid
2086,AL,NA,nclimgrid
2087,AL,NA,nclimgrid
2088,AL,NA,nclimgrid
2089,AL,NA,nclimgrid
2090,AL,NA,nclimgrid
2091,AL,NA,nclimgrid
2092,AL,NA,nclimgrid
2093,AL,NA,nclimgrid
2094,AL,NA,nclimgrid
2095,AL,NA,nclimgrid
2096,AL,NA,nclimgrid
2097,AL,NA,nclimgrid
2098,AL,NA,nclimgrid
2099,AL,NA,nclimgrid
2100,AL,NA,nclimgrid
1950,GA,NA,nclimgrid
1951,GA,NA,nclimgrid
1952,GA,51.13,nclimgrid
1953,GA,48.07,nclimgrid
1954,GA,48.88,nclimgrid
1955,GA,46.55,nclimgrid
1956,GA,47.51,nclimgrid
1957,GA,53.41,nclimgrid
1958,GA,42.75,nclimgrid
1959,GA,46.47,nclimgrid
1960,GA,46.52,nclimgrid
1961,GA,44.86,nclimgrid
1962,GA,48.85,nclimgrid
1963,GA,42.94,nclimgrid
1964,GA,42.34,nclimgrid
1965,GA,48.13,nclimgrid
1966,GA,45.08,nclimgrid
1967,GA,46.55,nclimgrid
1968,GA,45.22,nclimgrid
1969,GA,44.22,nclimgrid
1970,GA,42.78,nclimgrid
1971,GA,47.75,nclimgrid
1972,GA,51.29,nclimgrid
1973,GA,47.62,nclimgrid
1974,GA,51.58,nclimgrid
1975,GA,49.85,nclimgrid
1976,GA,47.08,nclimgrid
1977,GA,41.12,nclimgrid
1978,GA,41.52,nclimgrid
1979,GA,44.63,nclimgrid
1980,GA,45.89,nclimgrid
1981,GA,44.63,nclimgrid
1982,GA,45.95,nclimgrid
1983,GA,47.6,nclimgrid
1984,GA,45.56,nclimgrid
1985,GA,47.84,nclimgrid
1986,GA,46.93,nclimgrid
1987,GA,46.64,nclimgrid
1988,GA,46.13,nclimgrid
