,year,avg_ann_temp_f,scenario,model
128,2078,60.37833849424267,ssp585,noresm2-mm
129,2079,61.562508088093956,ssp585,noresm2-mm
130,2080,60.97639610386798,ssp585,noresm2-mm
131,2081,59.788787248959416,ssp585,noresm2-mm
132,2082,59.78175267703672,ssp585,noresm2-mm
133,2083,60.071974795169986,ssp585,noresm2-mm
134,2084,61.33039919264595,ssp585,noresm2-mm
135,2085,61.571355767347164,ssp585,noresm2-mm
136,2086,61.37889523464107,ssp585,noresm2-mm
137,2087,60.848788075668324,ssp585,noresm2-mm
138,2088,62.08371154744641,ssp585,noresm2-mm
139,2089,62.25915655502339,ssp585,noresm2-mm
140,2090,61.302272743445904,ssp585,noresm2-mm
141,2091,63.374023508570254,ssp585,noresm2-mm
142,2092,62.08739296009592,ssp585,noresm2-mm
143,2093,61.76416400892236,ssp585,noresm2-mm
144,2094,61.578440513000224,ssp585,noresm2-mm
145,2095,62.951812010501854,ssp585,noresm2-mm
146,2096,62.38398023900824,ssp585,noresm2-mm
147,2097,61.909494565505184,ssp585,noresm2-mm
148,2098,63.54769529485524,ssp585,noresm2-mm
149,2099,63.791926431176584,ssp585,noresm2-mm
150,2100,63.55711856225437,ssp585,noresm2-mm
0,1950,51.64148462501997,ssp585,noresm2-lm
1,1951,50.94030958097536,ssp585,noresm2-lm
2,1952,51.05382454683525,ssp585,noresm2-lm
3,1953,50.750143918803815,ssp585,noresm2-lm
4,1954,51.52361645696239,ssp585,noresm2-lm
5,1955,51.04128482647676,ssp585,noresm2-lm
6,1956,52.813527328824236,ssp585,noresm2-lm
7,1957,52.19282289045454,ssp585,noresm2-lm
8,1958,51.555955871975,ssp585,noresm2-lm
9,1959,52.22913078749504,ssp585,noresm2-lm
10,1960,51.97493168925765,ssp585,noresm2-lm
11,1961,49.89622227900709,ssp585,noresm2-lm
12,1962,50.258238028165835,ssp585,noresm2-lm
13,1963,49.63295544663321,ssp585,noresm2-lm
14,1964,48.85803833833484,ssp585,noresm2-lm
15,1965,49.92931390326609,ssp585,noresm2-lm
16,1966,50.81718878840153,ssp585,noresm2-lm
17,1967,50.235592552159524,ssp585,noresm2-lm
18,1968,50.642990743217176,ssp585,noresm2-lm
19,1969,50.45868558673891,ssp585,noresm2-lm
20,1970,52.077900818476465,ssp585,noresm2-lm
21,1971,50.19825583759304,ssp585,noresm2-lm
22,1972,50.615950198185416,ssp585,noresm2-lm
23,1973,50.07818691948357,ssp585,noresm2-lm
24,1974,50.07686417897318,ssp585,noresm2-lm
25,1975,51.84326105834126,ssp585,noresm2-lm
26,1976,50.36187003168517,ssp585,noresm2-lm
27,1977,49.59262910440543,ssp585,noresm2-lm
28,1978,50.808435936547546,ssp585,noresm2-lm
29,1979,50.54837877847158,ssp585,noresm2-lm
30,1980,49.85029360401767,ssp585,noresm2-lm
31,1981,50.50965907274405,ssp585,noresm2-lm
32,1982,50.46884058906263,ssp585,noresm2-lm
33,1983,50.784796644387676,ssp585,noresm2-lm
34,1984,50.34931815807893,ssp585,noresm2-lm
